T:3.240936e+00 E:4.592610e+03 P:4.435935e+01 r2:9.720113e-06
T:3.244871e+00 E:4.592560e+03 P:4.433024e+01 r2:3.889123e-05
T:3.249305e+00 E:4.592550e+03 P:4.429745e+01 r2:8.751776e-05
T:3.254155e+00 E:4.592527e+03 P:4.426154e+01 r2:1.555879e-04
T:3.259327e+00 E:4.592524e+03 P:4.422338e+01 r2:2.430730e-04
T:3.264723e+00 E:4.592491e+03 P:4.418378e+01 r2:3.499266e-04
T:3.270243e+00 E:4.592494e+03 P:4.414259e+01 r2:4.760841e-04
T:3.275785e+00 E:4.592476e+03 P:4.410060e+01 r2:6.214616e-04
T:3.281250e+00 E:4.592448e+03 P:4.405903e+01 r2:7.859557e-04
T:3.286541e+00 E:4.592439e+03 P:4.401858e+01 r2:9.694423e-04
T:3.291565e+00 E:4.592411e+03 P:4.398023e+01 r2:1.171777e-03
T:3.296232e+00 E:4.592457e+03 P:4.394414e+01 r2:1.392793e-03
T:3.300460e+00 E:4.592439e+03 P:4.391219e+01 r2:1.632303e-03
T:3.304169e+00 E:4.592426e+03 P:4.388380e+01 r2:1.890098e-03
T:3.307291e+00 E:4.592437e+03 P:4.385871e+01 r2:2.165943e-03
T:3.309765e+00 E:4.592428e+03 P:4.383815e+01 r2:2.459586e-03
T:3.311546e+00 E:4.592435e+03 P:4.382333e+01 r2:2.770747e-03
T:3.312602e+00 E:4.592431e+03 P:4.381378e+01 r2:3.099126e-03
T:3.312920e+00 E:4.592446e+03 P:4.380973e+01 r2:3.444400e-03
T:3.312504e+00 E:4.592454e+03 P:4.381124e+01 r2:3.806225e-03
T:3.311380e+00 E:4.592463e+03 P:4.381851e+01 r2:4.184235e-03
T:3.309594e+00 E:4.592458e+03 P:4.383054e+01 r2:4.578043e-03
T:3.307207e+00 E:4.592480e+03 P:4.384773e+01 r2:4.987246e-03
T:3.304300e+00 E:4.592504e+03 P:4.386840e+01 r2:5.411422e-03
T:3.300962e+00 E:4.592537e+03 P:4.389231e+01 r2:5.850137e-03
T:3.297293e+00 E:4.592558e+03 P:4.391936e+01 r2:6.302941e-03
T:3.293394e+00 E:4.592542e+03 P:4.394924e+01 r2:6.769377e-03
T:3.289367e+00 E:4.592553e+03 P:4.397999e+01 r2:7.248977e-03
T:3.285308e+00 E:4.592599e+03 P:4.401104e+01 r2:7.741272e-03
T:3.281304e+00 E:4.592620e+03 P:4.404109e+01 r2:8.245785e-03
T:3.277430e+00 E:4.592598e+03 P:4.407040e+01 r2:8.762041e-03
T:3.273744e+00 E:4.592603e+03 P:4.409848e+01 r2:9.289565e-03
T:3.270286e+00 E:4.592596e+03 P:4.412498e+01 r2:9.827886e-03
T:3.267077e+00 E:4.592556e+03 P:4.414999e+01 r2:1.037654e-02
T:3.264120e+00 E:4.592574e+03 P:4.417366e+01 r2:1.093505e-02
T:3.261402e+00 E:4.592566e+03 P:4.419559e+01 r2:1.150297e-02
T:3.258898e+00 E:4.592583e+03 P:4.421541e+01 r2:1.207985e-02
T:3.256572e+00 E:4.592567e+03 P:4.423442e+01 r2:1.266523e-02
T:3.254387e+00 E:4.592558e+03 P:4.425314e+01 r2:1.325869e-02
T:3.252309e+00 E:4.592550e+03 P:4.427091e+01 r2:1.385977e-02
T:3.250307e+00 E:4.592544e+03 P:4.428731e+01 r2:1.446805e-02
T:3.248361e+00 E:4.592518e+03 P:4.430313e+01 r2:1.508310e-02
T:3.246463e+00 E:4.592517e+03 P:4.431776e+01 r2:1.570451e-02
T:3.244614e+00 E:4.592524e+03 P:4.433305e+01 r2:1.633186e-02
T:3.242827e+00 E:4.592558e+03 P:4.434770e+01 r2:1.696474e-02
T:3.241120e+00 E:4.592592e+03 P:4.436189e+01 r2:1.760276e-02
T:3.239517e+00 E:4.592596e+03 P:4.437619e+01 r2:1.824552e-02
T:3.238039e+00 E:4.592619e+03 P:4.438940e+01 r2:1.889265e-02
T:3.236707e+00 E:4.592614e+03 P:4.440086e+01 r2:1.954378e-02
T:3.235534e+00 E:4.592609e+03 P:4.441089e+01 r2:2.019855e-02
T:3.234526e+00 E:4.592592e+03 P:4.441993e+01 r2:2.085664e-02
T:3.233683e+00 E:4.592652e+03 P:4.442786e+01 r2:2.151769e-02
T:3.233000e+00 E:4.592649e+03 P:4.443499e+01 r2:2.218142e-02
T:3.232468e+00 E:4.592674e+03 P:4.444057e+01 r2:2.284750e-02
T:3.232076e+00 E:4.592649e+03 P:4.444512e+01 r2:2.351566e-02
T:3.231816e+00 E:4.592618e+03 P:4.444914e+01 r2:2.418563e-02
