Output dataset from model "HMT"
0.5
m h j xKr xKs xto1 yto1 Ki Cai CaNSR CaJSR pc1 po1 po2 pc2 c0 c1 c2 c3 c4 cCa0 cCa1 cCa2 cCa3 cCa4 open yL LTRPNCa HTRPNCa Cass V z_b 
0.997681 0.00215068 0.000154539 1.11046e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.997285 0.00249329 0.000194827 1.68348e-05 1.7039e-06 1.62148e-07 1.33171e-08 8.57817e-10 3.78284e-11 2.23362e-11 3.39542e-12 9.81058e-11 3.77738e-12 8.20742e-10 1.68567e-13 5.27646e-12 1.58118e-10 4.2034e-10 1.52687e-08 -1.42784e-13 6.89848e-13 -8.20731e-15 1.09019e-10 2.02285e-09 1.46644e-08 1.44295e-09 1.53283e-07 -6.89662e-12 8.25954e-12 1.07768e-13 1.11829e-14 -1.02144e-11
0.996574 0.00309977 0.000291325 2.64405e-05 2.3433e-06 2.05505e-07 1.80599e-08 1.57312e-09 1.03406e-10 1.73302e-10 5.79505e-12 1.38577e-10 5.05044e-12 1.58061e-09 2.61279e-13 4.99316e-12 1.35308e-10 8.08819e-10 1.78903e-08 3.01639e-12 5.03945e-13 6.0896e-12 6.77358e-11 1.54947e-09 1.83112e-08 8.4997e-10 1.97554e-07 3.33532e-11 5.86568e-12 7.65543e-14 1.12061e-14 6.81196e-11
0.995633 0.00385069 0.000450464 5.0834e-05 5.55742e-06 5.90387e-07 6.11246e-08 6.09012e-09 4.25647e-10 7.51486e-10 2.34455e-11 4.86653e-10 1.91423e-11 4.60643e-09 9.25829e-13 1.88223e-11 4.59528e-10 2.38222e-09 4.23069e-08 8.79401e-12 1.70821e-12 1.77904e-11 2.29881e-10 4.35246e-09 4.36384e-08 2.50443e-09 3.76858e-07 7.87628e-11 1.66532e-11 2.46358e-13 3.25469e-14 1.61759e-10
0.994415 0.00476577 0.000694469 9.75823e-05 1.32817e-05 1.7554e-06 2.25554e-07 2.76035e-08 2.20781e-09 4.74222e-09 1.03805e-10 1.77461e-09 8.01668e-11 1.35385e-08 3.31111e-12 7.81322e-11 1.63391e-09 7.04611e-09 1.00007e-07 2.55781e-11 5.96013e-12 5.17746e-11 8.14002e-10 1.25756e-08 1.03749e-07 7.35383e-09 7.16334e-07 1.84505e-10 4.78136e-11 8.30653e-13 9.34348e-14 3.80792e-10
0.99298 0.00576466 0.00102596 0.000176743 2.95743e-05 4.81225e-06 7.6036e-07 1.13199e-07 1.03482e-08 2.78304e-08 4.10759e-10 5.84401e-09 3.01971e-10 3.63338e-08 1.05885e-11 2.9226e-10 5.26022e-09 1.89822e-08 2.18592e-07 6.74017e-11 1.86682e-11 1.36284e-10 2.60968e-09 3.33359e-08 2.27508e-07 1.95277e-08 1.27822e-06 3.97452e-10 1.24874e-10 2.52683e-12 2.41343e-13 8.22627e-10
0.991259 0.00687299 0.00146428 0.000302675 6.08918e-05 1.19297e-05 2.26845e-06 4.0281e-07 4.20546e-08 1.45607e-07 1.41615e-09 1.71347e-08 9.98571e-10 8.87839e-08 3.03084e-11 9.61706e-10 1.51179e-08 4.66068e-08 4.44798e-07 1.6276e-10 5.23928e-11 3.28786e-10 7.47624e-09 8.05838e-08 4.64971e-07 4.73081e-08 2.1695e-06 8.01739e-10 2.98835e-10 6.89219e-12 5.73918e-13 1.66617e-09
0.989217 0.00807001 0.00202756 0.000495185 0.000117869 2.73416e-05 6.14574e-06 1.27711e-06 1.50304e-07 6.55066e-07 4.35848e-09 4.57035e-08 2.95973e-09 2.00849e-07 7.89661e-11 2.83973e-09 3.95877e-08 1.05951e-07 8.51704e-07 3.64165e-10 1.33985e-10 7.3466e-10 1.9527e-08 1.80639e-07 8.94171e-07 1.06096e-07 3.51939e-06 1.52247e-09 6.63132e-10 1.71489e-11 1.26367e-12 3.17674e-09
0.986821 0.00933439 0.00272402 0.00077411 0.000214664 5.80271e-05 1.51624e-05 3.62415e-06 4.75702e-07 2.55546e-06 1.20251e-08 1.1114e-07 7.90016e-09 4.21177e-07 1.87667e-10 7.55821e-09 9.46498e-08 2.23254e-07 1.53582e-06 7.55856e-10 3.12969e-10 1.52226e-09 4.65875e-08 3.75912e-07 1.619e-06 2.20397e-07 5.45955e-06 2.72431e-09 1.3662e-09 3.90512e-11 2.5804e-12 5.7068e-09
0.98403 0.0106449 0.00355672 0.00115908 0.000368937 0.000114453 3.42141e-05 9.25782e-06 1.34346e-06 8.72661e-06 2.99253e-08 2.47522e-07 1.91104e-08 8.21787e-07 4.08855e-10 1.82436e-08 2.07516e-07 4.37745e-07 2.61621e-06 1.46104e-09 6.70984e-10 2.93678e-09 1.01957e-07 7.28564e-07 2.76887e-06 4.25873e-07 8.11875e-06 4.60843e-09 2.6225e-09 8.18112e-11 4.90717e-12 9.69133e-09
0.980797 0.0119804 0.00452235 0.00166728 0.000600772 0.000210847 7.10459e-05 2.1453e-05 3.41756e-06 2.6378e-05 6.77076e-08 5.07965e-07 4.22262e-08 1.49932e-06 8.21775e-10 4.02445e-08 4.19685e-07 8.02716e-07 4.2267e-06 2.64304e-09 1.32864e-09 5.30179e-09 2.05876e-07 1.32099e-06 4.49105e-06 7.69461e-07 1.16079e-05 7.39844e-09 4.7122e-09 1.58705e-10 8.73576e-12 1.56204e-08
0.977068 0.0133197 0.00561079 0.00231106 0.000930674 0.000364655 0.000136636 4.54638e-05 7.90661e-06 7.13818e-05 1.40427e-07 9.66709e-07 8.59214e-08 2.57077e-06 1.53383e-09 8.17892e-08 7.87884e-07 1.38371e-06 6.50206e-06 4.49713e-09 2.44576e-09 9.00246e-09 3.85947e-07 2.25138e-06 6.93663e-06 1.30685e-06 1.60044e-05 1.13167e-08 7.96426e-09 2.86994e-10 1.46337e-11 2.39914e-08
0.972785 0.0146416 0.00680494 0.00309549 0.00137675 0.000594946 0.000244881 8.87976e-05 1.6787e-05 0.000174777 2.69059e-07 1.71643e-06 1.62245e-07 4.16224e-06 2.67504e-09 1.54314e-07 1.38136e-06 2.25292e-06 9.55907e-06 7.23082e-09 4.21159e-09 1.44466e-08 6.75783e-07 3.62336e-06 1.02407e-05 2.09681e-06 2.13362e-05 1.65524e-08 1.27203e-08 4.86891e-10 2.31799e-11 3.5242e-08
0.967835 0.0159481 0.00809311 0.00402258 0.0019544 0.000921109 0.000411911 0.000161222 3.29936e-05 0.000391195 4.80479e-07 2.86533e-06 2.8641e-07 6.40442e-06 4.39467e-09 2.72203e-07 2.27716e-06 3.48967e-06 1.35032e-05 1.10635e-08 6.83229e-09 2.20701e-08 1.11255e-06 5.53611e-06 1.45419e-05 3.20119e-06 2.7627e-05 2.32882e-08 1.93157e-08 7.7964e-10 3.49817e-11 4.98472e-08
0.962162 0.0171912 0.00944203 0.00508219 0.00267273 0.00136105 0.000655237 0.000274599 6.06645e-05 0.000809095 8.06304e-07 4.5244e-06 4.77292e-07 9.40553e-06 6.83642e-09 4.53519e-07 3.55701e-06 5.15711e-06 1.83744e-05 1.61556e-08 1.05168e-08 3.21792e-08 1.73588e-06 8.08046e-06 1.98823e-05 4.66551e-06 3.47727e-05 3.15551e-08 2.80174e-08 1.18849e-09 5.04026e-11 6.78723e-08
0.955717 0.0183518 0.010808 0.00624108 0.0035196 0.00191876 0.00098583 0.000439227 0.000104702 0.00155516 1.27366e-06 6.76188e-06 7.52485e-07 1.31864e-05 1.00833e-08 7.15234e-07 5.26773e-06 7.27454e-06 2.40882e-05 2.25329e-08 1.53783e-08 4.48246e-08 2.56829e-06 1.1265e-05 2.61889e-05 6.49624e-06 4.25592e-05 4.12086e-08 3.8837e-08 1.72724e-09 6.94453e-11 8.90704e-08
0.948436 0.0194134 0.0121539 0.00746386 0.00447431 0.00258904 0.0014084 0.000662901 0.000170427 0.00279175 1.90298e-06 9.6042e-06 1.12731e-06 1.77066e-05 1.41607e-08 1.07233e-06 7.42573e-06 9.82694e-06 3.0502e-05 3.01189e-08 2.14505e-08 5.98579e-08 3.61756e-06 1.50477e-05 3.33217e-05 8.67234e-06 5.07489e-05 5.20033e-08 5.16184e-08 2.40254e-09 9.18241e-11 1.12959e-07
0.940265 0.0203619 0.0134439 0.0087105 0.00550669 0.00335624 0.00191953 0.000949208 0.000263016 0.00470674 2.70392e-06 1.3024e-05 1.61276e-06 2.28566e-05 1.90223e-08 1.53592e-06 1.00103e-05 1.27583e-05 3.74112e-05 3.87238e-08 2.86727e-08 7.69096e-08 4.8736e-06 1.93329e-05 4.10657e-05 1.11413e-05 5.90753e-05 6.35928e-08 6.603e-08 3.21263e-09 1.16954e-10 1.38814e-07
0.931163 0.0211869 0.0146466 0.00994019 0.00658021 0.00419561 0.00250743 0.00129655 0.000386867 0.00749491 3.67311e-06 1.69397e-05 2.21406e-06 2.84689e-05 2.45533e-08 2.11182e-06 1.29643e-05 1.59766e-05 4.4572e-05 4.80654e-08 3.68963e-08 9.54284e-08 6.30894e-06 2.39815e-05 4.91542e-05 1.38246e-05 6.72682e-05 7.55688e-08 8.16013e-08 4.14776e-09 1.44018e-10 1.65744e-07
